2025-10-29 13:25:51,311  	INFO    	pipeline.utils.feature_engineering 	Defined keys in spent_to for 6 rows.
2025-10-29 13:25:51,311  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,311  	INFO    	pipeline.utils.staging             	Running apply_value_maps...
2025-10-29 13:25:51,361  	WARNING 	pipeline.utils.feature_engineering 	'event_params__ad_shown_where' not found in DataFrame.
2025-10-29 13:25:51,363  	WARNING 	pipeline.utils.feature_engineering 	'spent_in_crystal' not found in DataFrame.
2025-10-29 13:25:51,372  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,372  	INFO    	pipeline.utils.staging             	Running question_addressable_index...
2025-10-29 13:25:51,389  	INFO    	pipeline.utils.feature_engineering 	Question address created for 18426 rows.
2025-10-29 13:25:51,389  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,550  	INFO    	__main__                           	Data pipeline complete. Processed data saved.
2025-10-29 13:26:15,247  	INFO    	__main__                           	Initializing pipeline...
2025-10-29 13:26:16,752  	INFO    	__main__                           	Module imports successful.
2025-10-29 13:26:16,752  	INFO    	__main__                           	Validating folder structure...
2025-10-29 13:26:16,752  	INFO    	pipeline.utils.main_functions      	Folder structure validated.
2025-10-29 13:26:16,753  	INFO    	__main__                           	Setting configuration parameters...
2025-10-29 13:26:16,753  	INFO    	__main__                           	Initializing BigQuery client...
2025-10-29 13:26:16,798  	INFO    	__main__                           	BigQuery client initialized.
2025-10-29 13:26:16,798  	INFO    	__main__                           	Starting data pull...
2025-10-29 13:26:16,810  	INFO    	pipeline.utils.staging             	Running pull_from_bq...
2025-10-29 13:26:18,055  	INFO    	pipeline.utils.pull_functions      	No new tables to process.
2025-10-29 13:26:18,056  	INFO    	pipeline.utils.pull_functions      	Merging data...
2025-10-29 13:26:19,073  	INFO    	pipeline.utils.staging             	pull_from_bq done.
2025-10-29 13:26:19,074  	INFO    	pipeline.utils.staging             	Running flatten_dataframe...
2025-10-29 13:26:22,091  	INFO    	pipeline.utils.staging             	flatten_dataframe done.
2025-10-29 13:26:22,091  	INFO    	pipeline.utils.staging             	Running dots_to_underscores...
2025-10-29 13:26:22,092  	INFO    	pipeline.utils.cleaning_functions  	Column names updated to use '__' instead of '.' successfully.
2025-10-29 13:26:22,092  	INFO    	pipeline.utils.staging             	dots_to_underscores done.
2025-10-29 13:26:22,092  	INFO    	pipeline.utils.staging             	Running transform_datetime_fields...
2025-10-29 13:26:22,145  	INFO    	pipeline.utils.time_and_date_functions	Date/time cleanup and transformation complete.
2025-10-29 13:26:22,148  	INFO    	pipeline.utils.staging             	transform_datetime_fields done.
2025-10-29 13:26:22,148  	INFO    	pipeline.utils.staging             	Running add_time_based_features...
2025-10-29 13:26:22,172  	INFO    	pipeline.utils.time_and_date_functions	Time-based features added successfully.
2025-10-29 13:26:22,172  	INFO    	pipeline.utils.staging             	add_time_based_features done.
2025-10-29 13:26:22,172  	INFO    	pipeline.utils.staging             	Running add_durations...
2025-10-29 13:26:22,227  	INFO    	pipeline.utils.time_and_date_functions	Session IDs assigned and durations calculated for 356 unique sessions.
2025-10-29 13:26:22,254  	INFO    	pipeline.utils.time_and_date_functions	Event durations within sessions calculated successfully.
2025-10-29 13:26:22,259  	INFO    	pipeline.utils.staging             	add_durations done.
2025-10-29 13:26:22,259  	INFO    	pipeline.utils.staging             	Running forward_fill_progress...
2025-10-29 13:26:22,304  	INFO    	pipeline.utils.feature_engineering 	Character names, tiers, and question indices forward-filled for 356 unique sessions.
2025-10-29 13:26:22,309  	INFO    	pipeline.utils.staging             	forward_fill_progress done.
2025-10-29 13:26:22,309  	INFO    	pipeline.utils.staging             	Running question_index_cleanup...
2025-10-29 13:26:22,337  	INFO    	pipeline.utils.cleaning_functions  	Question index cleaned up for 18426 rows.
2025-10-29 13:26:22,338  	INFO    	pipeline.utils.staging             	question_index_cleanup done.
2025-10-29 13:26:22,338  	INFO    	pipeline.utils.staging             	Running question_cumulative_qi...
2025-10-29 13:26:22,354  	INFO    	pipeline.utils.feature_engineering 	Cumulative question index calculated for 18426 rows.
