2025-10-30 10:47:10,774  	INFO    	pipeline.utils.main_functions           	Folder structure validated.
2025-10-30 10:47:10,775  	INFO    	__main__                                	Setting configuration parameters...
2025-10-30 10:47:10,775  	INFO    	__main__                                	Initializing BigQuery client...
2025-10-30 10:47:10,820  	INFO    	__main__                                	BigQuery client initialized.
2025-10-30 10:47:10,821  	INFO    	__main__                                	Starting data pull...
2025-10-30 10:47:10,834  	INFO    	pipeline.utils.staging                  	Running pull_from_bq...
2025-10-30 10:47:12,183  	INFO    	pipeline.utils.pull_functions           	No new tables to process.
2025-10-30 10:47:12,183  	INFO    	pipeline.utils.pull_functions           	Merging data...
2025-10-30 10:47:13,258  	INFO    	pipeline.utils.staging                  	pull_from_bq done.
2025-10-30 10:47:13,258  	INFO    	pipeline.utils.staging                  	Running flatten_dataframe...
2025-10-30 10:47:16,312  	INFO    	pipeline.utils.staging                  	flatten_dataframe done.
2025-10-30 10:47:16,313  	INFO    	pipeline.utils.staging                  	Running dots_to_underscores...
2025-10-30 10:47:16,313  	INFO    	pipeline.utils.cleaning_functions       	Column names updated to use '__' instead of '.' successfully.
2025-10-30 10:47:16,313  	INFO    	pipeline.utils.staging                  	dots_to_underscores done.
2025-10-30 10:47:16,314  	INFO    	pipeline.utils.staging                  	Running transform_datetime_fields...
2025-10-30 10:47:16,366  	INFO    	pipeline.utils.time_and_date_functions  	Date/time cleanup and transformation complete.
2025-10-30 10:47:16,370  	INFO    	pipeline.utils.staging                  	transform_datetime_fields done.
2025-10-30 10:47:16,370  	INFO    	pipeline.utils.staging                  	Running add_time_based_features...
2025-10-30 10:47:16,393  	INFO    	pipeline.utils.time_and_date_functions  	Time-based features added successfully.
2025-10-30 10:47:16,394  	INFO    	pipeline.utils.staging                  	add_time_based_features done.
2025-10-30 10:47:16,394  	INFO    	pipeline.utils.staging                  	Running add_durations...
2025-10-30 10:47:16,917  	INFO    	pipeline.utils.time_and_date_functions  	Session IDs assigned and durations calculated for 357 unique sessions.
2025-10-30 10:47:16,943  	INFO    	pipeline.utils.time_and_date_functions  	Event durations within sessions calculated successfully.
2025-10-30 10:47:16,947  	INFO    	pipeline.utils.staging                  	add_durations done.
2025-10-30 10:47:16,947  	INFO    	pipeline.utils.staging                  	Running forward_fill_progress...
2025-10-30 10:47:16,992  	INFO    	pipeline.utils.feature_engineering      	Character names, tiers, and question indices forward-filled for 357 unique sessions.
2025-10-30 10:47:16,996  	INFO    	pipeline.utils.staging                  	forward_fill_progress done.
2025-10-30 10:47:16,997  	INFO    	pipeline.utils.staging                  	Running question_index_cleanup...
2025-10-30 10:47:17,025  	INFO    	pipeline.utils.cleaning_functions       	Question index cleaned up for 18426 rows.
2025-10-30 10:47:17,025  	INFO    	pipeline.utils.staging                  	question_index_cleanup done.
2025-10-30 10:47:17,025  	INFO    	pipeline.utils.staging                  	Running question_cumulative_qi...
2025-10-30 10:47:17,040  	INFO    	pipeline.utils.feature_engineering      	Cumulative question index calculated for 18426 rows.
2025-10-30 10:47:17,040  	INFO    	pipeline.utils.staging                  	question_cumulative_qi done.
2025-10-30 10:47:17,040  	INFO    	pipeline.utils.staging                  	Running mini_game_features...
2025-10-30 10:47:17,048  	INFO    	pipeline.utils.feature_engineering      	Extracted maze hand data for 73 rows.
2025-10-30 10:47:17,048  	INFO    	pipeline.utils.staging                  	mini_game_features done.
2025-10-30 10:47:17,049  	INFO    	pipeline.utils.staging                  	Running mini_game_reward_split...
2025-10-30 10:47:17,061  	INFO    	pipeline.utils.feature_engineering      	Extracted buff data for 76 rows.
2025-10-30 10:47:17,062  	INFO    	pipeline.utils.staging                  	mini_game_reward_split done.
2025-10-30 10:47:17,062  	INFO    	pipeline.utils.staging                  	Running mini_game_buffs...
2025-10-30 10:47:17,066  	INFO    	pipeline.utils.feature_engineering      	Extracted earned buff data for 75 rows.
2025-10-30 10:47:17,067  	INFO    	pipeline.utils.staging                  	mini_game_buffs done.
2025-10-30 10:47:17,067  	INFO    	pipeline.utils.staging                  	Running mini_game_dolls...
2025-10-30 10:47:17,074  	INFO    	pipeline.utils.feature_engineering      	Extracted doll data for 23 rows.
2025-10-30 10:47:17,074  	INFO    	pipeline.utils.staging                  	mini_game_dolls done.
2025-10-30 10:47:17,074  	INFO    	pipeline.utils.staging                  	Running currency_define_permanent...
2025-10-30 10:47:17,081  	INFO    	pipeline.utils.feature_engineering      	Extracted permanent shop item data for 42 rows.
2025-10-30 10:47:17,081  	INFO    	pipeline.utils.staging                  	currency_define_permanent done.
2025-10-30 10:47:17,081  	INFO    	pipeline.utils.staging                  	Running currency_define_consumable...
2025-10-30 10:47:17,091  	INFO    	pipeline.utils.feature_engineering      	Extracted consumable shop item data for 206 rows.
2025-10-30 10:47:17,091  	INFO    	pipeline.utils.staging                  	currency_define_consumable done.
2025-10-30 10:47:17,091  	INFO    	pipeline.utils.staging                  	Running currency_define_board...
2025-10-30 10:47:17,099  	INFO    	pipeline.utils.feature_engineering      	Extracted board item data for 83 rows.
2025-10-30 10:47:17,099  	INFO    	pipeline.utils.staging                  	currency_define_board done.
2025-10-30 10:47:17,099  	INFO    	pipeline.utils.staging                  	Running currency_define_keys...
2025-10-30 10:47:17,102  	INFO    	pipeline.utils.feature_engineering      	Defined keys in spent_to for 6 rows.
2025-10-30 10:47:17,102  	INFO    	pipeline.utils.staging                  	currency_define_keys done.
